,obs,name,jd,mnvel,errvel,sval,cts,tel
0,,10002,2450462.767072,-2.7263160289416533,0.97737086,,94095.0,k
1,,10002,2450715.062315,-7.562192493785403,1.0805758,,128078.0,k
2,,10002,2450805.760579,-6.910398060191653,1.0736045,,105461.0,k
3,,10002,2450806.805428,-2.655049854625247,1.1732513,,106530.0,k
4,,10002,2450837.726528,-6.846250110972903,1.0692292,,168101.0,k
5,,10002,2450839.731736,-7.566114002574466,1.0166992,,148769.0,k
6,,10002,2451043.057963,-7.380719715465091,1.0673611,,119926.0,k
7,,10002,2451070.084873,-8.375936085093997,1.1739525,,132289.0,k
8,,10002,2451170.779387,-2.046620899547122,1.0350136,,90184.0,k
9,,10002,2451369.124931,-6.043424183238528,1.116782,,94101.0,k
10,,10002,2451581.734792,-4.572324329722903,1.470826,,33081.0,k
11,,10002,2451883.794838,-4.281720692027591,1.2586832,,80213.0,k
12,,10002,2452095.127847,-7.1748405040393095,1.2833978,,91253.0,k
13,,10002,2452236.772882,-1.1451545299182158,1.189144,,107415.0,k
14,,10002,2452488.104479,-0.11965709339477826,1.3442519,,90800.0,k
15,,10002,2452572.930799,-1.194173389781497,1.4806376,,89700.0,k
16,,10002,2452832.127419,-5.6345573009143095,1.3340845,,100741.0,k
17,,10002,2452926.051782,-2.621877247203372,1.3236407,,102193.0,k
18,bj01.240,10002,2453238.085556,-2.2628298756232113,1.0805076,0.162,115317.0,j
19,bj11.640,10002,2453604.085243,3.73689031707012,1.0504526,0.163,101888.0,j
20,bj24.332,10002,2454024.031979,-3.100357705462958,1.1161747,0.162,72566.0,j
21,bj48.831,10002,2454429.791065,0.7239200734040807,0.9950487,0.162,72159.0,j
22,bj48.1225,10002,2454430.786285,4.397203483832097,1.0099375,0.163,72521.0,j
23,bj131.359,10002,2455808.108504,0.4856771061438394,1.2403259,0.158,48486.0,j
24,bj877.214,10002,2455825.086668,1.117747686271457,1.0695226,0.1587,75328.0,j
25,bj878.188,10002,2455825.99196,1.5829886857664803,1.0647242,0.1596,76810.0,j
26,bj878.189,10002,2455825.996393,0.6301096639045198,0.99324024,0.1591,76279.0,j
27,bj879.207,10002,2455840.002808,-1.6699164600999907,1.0797076,0.1594,76831.0,j
28,bj879.208,10002,2455840.006708,-1.3402302832909285,1.0985694,0.1592,76875.0,j
29,bj880.161,10002,2455840.88741,0.05820083071298754,1.1279658,0.1598,75579.0,j
30,bj880.162,10002,2455840.890674,2.377106742591215,1.0130639,0.1593,75337.0,j
31,bj881.127,10002,2455874.918509,-0.3859650579366196,1.0234149,0.1593,76897.0,j
32,bj881.128,10002,2455874.922409,3.2670792363806886,1.0680994,0.1591,77473.0,j
33,bj884.121,10002,2455910.770131,-3.895636444215569,0.926007,0.1605,75462.0,j
34,bj884.122,10002,2455910.773232,-3.957078096918437,0.8885034,0.1594,75953.0,j
35,bj885.122,10002,2455911.762738,-2.7602282337636055,0.9345169,0.0,75786.0,j
36,bj885.123,10002,2455911.76562,-3.6850528552565436,0.8701115,0.0,75736.0,j
37,bj886.129,10002,2455912.798039,-5.4540337627045155,0.83061904,0.0,76870.0,j
38,bj886.130,10002,2455912.801789,-0.9645349685006401,0.7906424,0.0,76929.0,j
39,bj887.115,10002,2455970.721093,-0.8613650987001176,0.99511456,0.1593,77109.0,j
40,bj887.116,10002,2455970.724357,-0.7341683596164401,0.99045116,0.1596,77349.0,j
41,bj888.120,10002,2455971.727736,-3.5404768409888723,0.996985,0.1602,77024.0,j
42,bj888.121,10002,2455971.731683,0.3360056380603602,1.0626198,0.1591,77843.0,j
43,bj893.184,10002,2456118.126694,1.524180916547948,1.0585928,0.1588,78087.0,j
44,bj893.185,10002,2456118.130966,-2.07870434905999,1.0813255,0.1585,77465.0,j
45,bj895.23,10002,2456142.09421,-3.4779661864393745,1.0615344,0.1602,76480.0,j
46,bj895.24,10002,2456142.097127,-4.874632500183438,1.0088512,0.1605,76043.0,j
47,bj897.169,10002,2456170.116906,1.6641828413724937,1.0547372,0.1593,77570.0,j
48,bj898.127,10002,2456290.770327,3.9629573770044537,0.9394368,0.1599,75890.0,j
49,bj899.115,10002,2456291.72886,0.9713210420058829,1.0222225,0.1597,76489.0,j
50,bj900.142,10002,2456292.778532,1.746781026860205,0.9627401,0.16,77549.0,j
51,bj901.111,10002,2456328.710781,-0.07928205591943538,0.93182766,0.1596,78053.0,j
52,bj903.113,10002,2456330.719401,0.6964273632095441,0.9839319,0.161,77968.0,j
53,bj909.161,10002,2456551.934031,-1.3647911437969213,1.0496395,0.1596,76556.0,j
54,bj184.127,10002,2456613.883944,-6.7793306346283835,1.0297126,0.16,47563.0,j
55,bj185.300,10002,2456637.791013,-4.8562775424342135,0.98701966,0.1586,48341.0,j
56,bj911.117,10002,2456675.72942,-1.5318358096101576,1.0477713,0.1596,79004.0,j
57,bj278.65,10002,2458111.697833,6.5845468037946056,1.3286026,0.1634,23542.0,j
58,bj278.74,10002,2458111.746486,-2.356656879632588,1.2597228,0.1658,24111.0,j
59,bj297.328,10002,2458338.118973,-2.596442624681629,1.111311,0.1637,49891.0,j
60,bj14.100,10008,2453723.830648,2.71479567923501,1.1908133,0.452,101838.0,j
61,bj14.101,10008,2453723.834028,3.145965911979431,1.2771358,0.452,100547.0,j
62,bj28.125,10008,2454129.74603,14.648408178189925,1.5867122,0.436,25154.0,j
63,bj45.194,10008,2454343.977894,-5.246046587326589,1.4322817,0.406,71664.0,j
64,bj808.174,10008,2454819.906483,2.1990778326039617,1.315735,0.4169,73299.0,j
65,bj97.163,10008,2455426.087705,-15.542167630377126,1.4365052,0.431,47494.0,j
66,bj97.711,10008,2455429.019051,11.835475178195395,1.527675,0.428,47948.0,j
67,bj157.889,10008,2456168.106191,1.0888689039981543,1.7218117,0.43700000000000006,23991.0,j
68,bj190.110,10008,2456861.125228,9.803070861549383,1.6117668,0.4313,23770.0,j
69,bj190.1011,10008,2456866.124264,0.337565382919923,1.629116,0.4237,23504.0,j
70,bj190.1211,10008,2456867.13027,-1.0049251508775985,1.6439675,0.4287,22659.0,j
71,bj191.297,10008,2456874.128242,-0.7226641577514785,1.5831662,0.4238,24572.0,j
72,bj192.326,10008,2456881.144589,-8.993716772637985,1.5523335,0.4211,23265.0,j
73,bj193.118,10008,2456889.117812,3.7494815421274588,1.5859993,0.4207,23618.0,j
74,bj194.340,10008,2456908.130058,-7.422951107481147,1.7069815,0.4275,23511.0,j
75,bj194.541,10008,2456909.079379,-2.4333362384223847,1.6461776,0.4257,23100.0,j
76,bj204.981,10008,2457234.135011,-10.510657645324542,1.4701786,0.4301,23052.0,j
77,bj214.80,10008,2457296.985717,5.852678750552602,1.5902956,0.4239,24910.0,j
78,bj215.104,10008,2457298.973355,3.159539186459938,1.7033217,0.4225,23991.0,j
79,bj222.473,10008,2457413.736169,3.120152172377516,1.520287,0.4218,27704.0,j
80,bj233.143,10008,2457580.123918,-6.92566507886434,1.5089192,0.44299999999999995,23347.0,j
81,bj236.305,10008,2457614.140104,-6.435607924667984,1.5343109,0.4407,23577.0,j
82,bj240.539,10008,2457654.089285,-6.536462639859636,1.6619958,0.4342,23701.0,j
83,bj246.504,10008,2457713.973472,-7.065047081663806,1.7567769,0.426,25008.0,j
84,bj247.299,10008,2457746.847239,2.080306277906516,1.5743045,0.4226,24472.0,j
85,bj248.66,10008,2457759.697946,8.686150825583127,1.4601282,0.4184,47711.0,j
86,bj249.466,10008,2457765.716644,-11.373109942061745,1.6147099,0.4209,23569.0,j
87,bj251.672,10008,2457790.707482,1.4116138581673567,1.7394472,0.4273,23344.0,j
88,bj252.370,10008,2457804.718707,2.6345364694357727,1.8890256,0.4238,23667.0,j
89,bj265.99,10008,2457964.111838,-15.454023481965576,1.7137394,0.40399999999999997,22651.0,j
90,bj266.100,10008,2457970.145405,-20.331471115034063,1.4709766,0.4049,22396.0,j
91,bj275.85,10008,2458065.831508,-3.1797211285984304,1.7531161,0.4045,23303.0,j
92,bj278.66,10008,2458111.700401,-2.4618197184251756,1.8593222,0.3886,23957.0,j
93,bj296.524,10008,2458330.120181,-5.745610847607129,1.5807362,0.4126,24976.0,j
94,bj317.394,10008,2458509.775392,1.683034184011376,1.6218799,0.4227,24780.0,j
95,,100180,2450419.15544,-0.1487706186398441,1.2031498,,107070.0,k
96,,100180,2450463.084757,-0.05295305272187534,1.5434095,,87797.0,k
97,,100180,2450545.927095,-7.088460254870313,1.5611575,,615605.0,k
98,,100180,2450545.9336,-8.4504445078,1.3158281,,246009.0,k
99,,100180,2450787.126748,-1.7621891977414066,1.4905173,,57450.0,k
100,,100180,2450840.130023,-10.717862415514844,1.2724787,,190740.0,k
101,,100180,2450862.89412,1.1852671621218747,1.3317337,,87790.0,k
102,,100180,2450954.828206,-2.428433704577344,1.543758,,180388.0,k
103,,100180,2450981.756308,-3.2131398203000003,1.3164603,,187404.0,k
104,,100180,2451171.147245,-4.625958728991407,1.3741323,,111170.0,k
105,,100180,2451172.104537,-8.502827930651563,1.351846,,128446.0,k
106,,100180,2451173.158368,-8.247906971178907,1.2247384,,157448.0,k
107,,100180,2451174.109491,0.6914469716921872,1.3090656,,142982.0,k
108,,100180,2451201.019687,-4.538251209460157,1.3689834,,149678.0,k
109,,100180,2451229.966192,-4.263280201159375,1.4763103,,51138.0,k
110,,100180,2451229.971748,2.538729381360156,3.9930906,,7644.0,k
111,,100180,2451230.016227,-4.353772449694532,1.2506034,,271954.0,k
112,,100180,2451310.836088,-0.8023961069210941,1.4085768,,108629.0,k
113,,100180,2451551.137812,3.0092341421023434,1.3982508,,72372.0,k
114,,100180,2451702.796921,0.31923933009062466,1.486327,,63175.0,k
115,,100180,2451974.026655,-6.585995960436719,1.488849,,98029.0,k
116,,100180,2452098.792859,-7.437917041979688,1.4151409,,81692.0,k
117,,100180,2452334.970544,0.8597437856570309,1.5244257,,94371.0,k
118,,100180,2452653.091123,-13.025494861803907,1.7178105,,87689.0,k
119,,100180,2452805.888171,12.464037608899218,1.8295372,,95534.0,k
120,,100180,2453018.035938,-6.36615495701875,1.6495619,,104915.0,k
121,bj04.488,100180,2453369.10485,-3.628666687212842,1.1328992,0.166,92501.0,j
122,bj06.1807,100180,2453429.943889,-2.5126099315687576,1.2177695,0.168,89575.0,j
123,bj06.1808,100180,2453429.945046,1.0942524484870866,1.1911066,0.168,90438.0,j
124,bj06.1809,100180,2453429.946076,2.0055101082866997,1.1814995,0.168,91492.0,j
125,bj14.707,100180,2453725.124375,-1.0878190688777067,1.135251,0.17,99848.0,j
126,bj14.708,100180,2453725.125498,-0.7076388697770994,1.1426725,0.17,99407.0,j
127,bj16.632,100180,2453776.985394,10.388445878204408,1.2460668,0.168,99902.0,j
128,bj16.633,100180,2453776.986458,9.289785289776546,1.2711016,0.16899999999999998,97704.0,j
129,bj16.634,100180,2453776.9875,4.782739156125615,1.2454121,0.168,98942.0,j
130,bj26.259,100180,2454084.161863,-3.798628281473441,1.370581,0.166,68721.0,j
131,bj26.260,100180,2454084.163472,-8.372803032496108,1.1453004,0.166,69218.0,j
132,bj26.261,100180,2454084.165023,-6.6789577013968255,1.2569981,0.165,68925.0,j
133,bj29.209,100180,2454138.93978,1.3473795759102245,1.3891184,0.16399999999999998,67437.0,j
134,bj29.210,100180,2454138.940648,-3.173270321931142,1.3741615,0.16399999999999998,68843.0,j
135,bj29.211,100180,2454138.941551,0.10041095091298757,1.3408694,0.165,70284.0,j
136,bj55.473,100180,2454635.763576,-0.29135723689150894,1.4586002,0.16899999999999998,43800.0,j
137,bj63.189,100180,2454806.147894,-6.039349881928956,1.4066992,0.168,46775.0,j
138,bj63.507,100180,2454807.087442,-1.3207364970090794,2.3922565,0.17,22391.0,j
139,bj63.508,100180,2454807.0889,-12.117771578895997,2.2472432,0.168,44905.0,j
140,bj63.837,100180,2454808.166285,4.585698672617241,1.4640249,0.17,46447.0,j
141,bj63.1124,100180,2454809.167569,1.1389212402398243,1.3614961,0.17,44804.0,j
142,bj63.1392,100180,2454810.143032,1.9033796271803851,1.2536249,0.171,43330.0,j
143,bj63.1691,100180,2454811.116563,3.1466405749483215,1.3847859,0.172,44557.0,j
144,bj66.123,100180,2454864.935012,1.6313924356576308,1.5315754,0.172,45561.0,j
145,bj66.708,100180,2454867.960361,5.807583243443872,1.6464449,0.16899999999999998,42771.0,j
146,bj68.917,100180,2454956.910877,4.422038330543382,1.4949015,0.171,45114.0,j
147,bj69.147,100180,2454963.919794,11.462604362994357,1.4832957,0.174,44080.0,j
148,bj70.436,100180,2454984.919668,-6.260517972572563,1.3898017,0.16699999999999998,43972.0,j
149,bj70.704,100180,2454985.832335,-3.510523862899909,1.4124943,0.17,46943.0,j
150,bj70.981,100180,2454986.823258,-1.469058118932088,1.3347614,0.16699999999999998,43904.0,j
151,bj70.1196,100180,2454987.833103,-2.4030241329906845,1.4800745,0.16699999999999998,44528.0,j
152,bj70.1412,100180,2454988.855308,-4.921955915135206,1.2819504,0.16699999999999998,44029.0,j
153,bj72.393,100180,2455015.777981,-3.0188965988223444,1.4590232,0.16699999999999998,43675.0,j
154,bj82.800,100180,2455199.092342,0.8980515674611524,1.4841591,0.165,48912.0,j
155,bj90.1012,100180,2455321.831101,-6.632132807472114,1.4028258,0.166,46408.0,j
156,bj93.1258,100180,2455377.734618,-13.298935351242353,1.3008909,0.166,47801.0,j
157,bj95.209,100180,2455400.732547,-6.523808290343368,1.5113591,0.16399999999999998,45106.0,j
158,bj108.136,100180,2455529.16696,-3.4957440966713875,1.3271743,0.162,46298.0,j
159,bj111.712,100180,2455559.11841,-9.366177273677778,1.5419394,0.16,46047.0,j
160,bj111.713,100180,2455559.119371,-5.644061197437509,1.5939375,0.159,45642.0,j
161,bj111.714,100180,2455559.120343,-2.9866364533472733,1.5135514,0.159,45078.0,j
162,bj116.953,100180,2455636.975428,2.576451229766036,1.4502574,0.16699999999999998,45536.0,j
163,bj141.176,100180,2455932.109326,0.2145056086767454,1.424554,0.16699999999999998,46645.0,j
164,bj146.830,100180,2455996.917733,-2.2296823566380475,2.0030859,0.14300000000000002,19038.0,j
165,bj166.588,100180,2456328.0908,1.290820649671943,1.4756131,0.16399999999999998,47575.0,j
166,bj185.1157,100180,2456641.023791,-13.125364786797519,1.4021842,0.1647,45621.0,j
167,bj186.265,100180,2456675.17206,-9.84756175054315,1.4917511,0.1631,47337.0,j
168,bj188.238,100180,2456827.755083,-12.822056239300471,1.2599598,0.1615,47316.0,j
169,bj198.88,100180,2457065.11857,-5.656816833954508,1.5306803,0.1662,47332.0,j
170,bj201.967,100180,2457202.741539,-13.821811770825418,1.2902006,0.166,48437.0,j
171,bj202.263,100180,2457207.736868,-3.8713842977355597,1.4562744,0.1652,46232.0,j
172,bj230.69,100180,2457561.739952,-7.646440539513874,1.251877,0.1656,45266.0,j
173,bj246.134,100180,2457712.152904,-10.051152988465248,1.3979195,0.1631,46953.0,j
174,bj252.401,100180,2457804.919958,-11.721420016329418,1.8304737,0.1647,25802.0,j
175,bj261.70,100180,2457939.747362,-14.38728615525821,1.4015543,0.1651,45190.0,j
176,bj294.379,100180,2458307.76165,8.204046068350083,1.4282367,0.1708,45000.0,j
177,bj316.474,100180,2458492.020629,3.8323386154111176,1.3461971,0.1794,47945.0,j
178,bj323.85,100180,2458584.915077,2.917071788202712,1.6020911,0.1737,48604.0,j
179,bj333.466,100180,2458646.7619,-0.052631131638343515,1.32424,0.174,49954.0,j
180,bj351.189,100180,2458795.154412,-10.70900389818172,1.52832,0.1598,46674.0,j
181,,100180,2456590.056179,-3.36129475664211,3.6387873,,10089.0,apf
182,,100180,2456598.046532,-2.395746223961794,3.3118927,,10481.0,apf
183,,100180,2456629.013077,-4.371808038176198,3.35676,,12368.0,apf
184,,100180,2456632.989326,-5.141447817108599,2.7906673,,21950.0,apf
185,,100180,2456647.935604,-8.00778004413246,3.101267,,21257.0,apf
186,,100180,2456672.028167,-4.194677337926265,2.823,,24669.0,apf
187,,100180,2456674.973677,-5.764479044272491,2.9540043,,14825.0,apf
188,,100180,2456674.975691,-2.2594744172145624,3.0530596,,14875.0,apf
189,,100180,2456674.977682,-6.715401029523491,2.894241,,14706.0,apf
190,,100180,2456675.067527,-7.382733030175075,3.0843744,,14533.0,apf
191,,100180,2456675.069599,-0.7442390570722353,3.1984107,,14379.0,apf
192,,100180,2456675.071659,0.15254345385915258,2.920885,,14381.0,apf
193,,100180,2456683.887709,0.7046858642156621,3.960636,,8033.0,apf
194,,100180,2456683.890198,-1.1248370631801663,3.9584286,,8005.0,apf
195,,100180,2456683.893022,0.771579568360039,4.3749943,,5530.0,apf
196,,100180,2456693.804389,2.475223061069812,3.3623123,,13417.0,apf
197,,100180,2456705.771681,-8.31658047505681,3.3403535,,14080.0,apf
198,,100180,2456728.754245,-2.88565119663496,3.5958052,,9941.0,apf
199,,100180,2456735.873335,-3.278231451420396,3.335764,,11295.0,apf
200,,100180,2456740.755549,-10.765444501998624,3.2444913,,11998.0,apf
201,,100180,2456740.78968,-6.397032716721679,3.2606194,,10757.0,apf
202,,100180,2456741.813034,-3.2008964824097763,3.8433838,,10520.0,apf
203,,100180,2456741.912418,-2.8071672863881183,3.668098,,10538.0,apf
204,,100180,2456750.779145,-4.743024780250078,3.6982014,,10948.0,apf
205,,100180,2457125.81928,-7.4823946495485245,3.0283978,,17348.0,apf
206,,100180,2457127.747019,-0.6208331927135333,3.756183,,7944.0,apf
207,,100180,2457138.761265,7.668448393282362,4.0834093,,6693.0,apf
208,,100180,2457415.831877,-6.544759756979033,3.4723852,,9396.0,apf
209,,100180,2457447.014162,-4.1063525500469495,5.048365,,3560.0,apf
210,,100180,2457495.807617,2.6998282501204223,3.9005978,,9504.0,apf
211,,100180,2457708.02403,-4.063827024072054,3.5213344,,10106.0,apf
212,,100180,2457853.774971,-4.527295976751724,4.318826,,6089.0,apf
213,,100180,2457872.724313,1.0415078158885132,3.5736797,,8394.0,apf
214,,100180,2457873.710211,5.122173188666994,3.6693692,,10047.0,apf
215,,100180,2458092.947762,14.77780610896778,5.519179,,3637.0,apf
216,,100180,2458115.978937,13.001392729886476,4.016787,,7744.0,apf
217,,100623,2450419.159734,-23.931699043943155,1.2223172,,98493.0,k
218,,100623,2450463.087847,-21.772076851560342,1.190084,,92839.0,k
219,,100623,2450838.030544,-20.77646375341581,1.073584,,115644.0,k
220,,100623,2450862.947986,-22.29634595556425,1.2082485,,96632.0,k
221,,100623,2450982.775602,-20.993275887204874,2.0075345,,19999.0,k
222,,100623,2451172.107037,-13.022214180661905,1.1891713,,103489.0,k
223,,100623,2451228.04338,-18.663762337400186,1.1494437,,99126.0,k
224,,100623,2451310.840822,-17.379048592283,1.3795379,,88593.0,k
225,,100623,2451580.96375,-18.587765938474405,1.2485657,,79101.0,k
226,,100623,2451973.968993,-16.116582161618936,1.2894628,,95975.0,k
227,,100623,2452007.933449,-13.797002083493936,1.4792701,,88394.0,k
228,,100623,2452332.988102,-17.430188423825967,1.6683817,,78880.0,k
229,,100623,2452654.013981,-14.343724495603311,1.6113755,,96757.0,k
230,,100623,2452681.113576,-10.559071785642374,1.4771092,,87547.0,k
231,,100623,2452804.762928,-8.659230477048624,1.4316393,,93162.0,k
232,,100623,2453018.041921,-11.021199471189249,1.261527,,102082.0,k
233,bj05.212,100623,2453398.09125,-11.847129770778398,0.9990538,0.192,100484.0,j
234,bj05.213,100623,2453398.092407,-8.749495301216832,0.91583097,0.193,98862.0,j
235,bj05.214,100623,2453398.093507,-9.07300358485768,0.96864474,0.192,97418.0,j
236,bj07.726,100623,2453480.768275,-9.599713900790931,1.1103907,0.19,94125.0,j
237,bj07.727,100623,2453480.769225,-6.628168617894417,0.9539255,0.19,96751.0,j
238,bj07.728,100623,2453480.770139,-11.805633955318669,0.9573184,0.19,92915.0,j
239,bj15.607,100623,2453748.084398,-8.875011592664965,0.988675,0.182,100669.0,j
240,bj15.608,100623,2453748.085417,-10.514556680499417,0.9903803,0.182,100970.0,j
241,bj15.609,100623,2453748.086516,-8.28408502651159,1.0175717,0.183,99879.0,j
242,bj18.198,100623,2453837.924317,-7.945746244771524,1.1029437,0.182,79434.0,j
243,bj18.199,100623,2453837.925937,-7.733038559103534,1.1087041,0.183,79579.0,j
244,bj18.200,100623,2453837.927326,-9.371821767494616,1.104004,0.182,79216.0,j
245,bj26.628,100623,2454085.08478,-7.367253980542719,0.99075246,0.174,73719.0,j
246,bj26.629,100623,2454085.086192,-6.066783195544588,1.0883237,0.177,73563.0,j
247,bj26.630,100623,2454085.087662,-7.089454137592886,1.0490459,0.175,73656.0,j
248,bj29.266,100623,2454139.073808,-5.525612108863287,1.0284634,0.18,73080.0,j
249,bj29.267,100623,2454139.074676,-7.086279541300974,1.0630403,0.18,75097.0,j
250,bj29.268,100623,2454139.075544,-6.676513278287583,1.092406,0.18,71630.0,j
251,bj32.125,100623,2454246.792025,-2.3872814367996966,1.0724363,0.18,71973.0,j
252,bj32.126,100623,2454246.792859,-3.7260036047818517,1.0367439,0.18,72813.0,j
253,bj32.913,100623,2454248.799525,-4.064554378086996,1.0875694,0.179,78679.0,j
254,bj32.1711,100623,2454250.793819,-5.032554045385524,1.1348299,0.18100000000000002,71607.0,j
255,bj32.2113,100623,2454251.797535,-4.903775903394489,1.0681173,0.18,73937.0,j
256,bj33.119,100623,2454255.755104,-0.49547722001256034,0.99535614,0.18100000000000002,72404.0,j
257,bj35.413,100623,2454278.738576,-7.819449573242963,0.9966564,0.179,71525.0,j
258,bj35.816,100623,2454279.73669,-10.055845854595077,0.96946824,0.179,74403.0,j
259,bj35.817,100623,2454279.737708,-8.887499528733457,0.937466,0.179,73029.0,j
260,bj38.119,100623,2454294.741516,-5.5068647460329885,1.1447762,0.18,73955.0,j
261,bj38.120,100623,2454294.744965,-4.546539074613321,1.1852331,0.18,73132.0,j
262,bj49.596,100623,2454455.104271,-2.837292089291907,1.0963048,0.184,72963.0,j
263,bj49.1023,100623,2454456.154803,-0.45079203684707103,1.0776397,0.185,73392.0,j
264,bj50.382,100623,2454493.113009,-0.9131961909282396,1.1006597,0.187,45590.0,j
265,bj52.171,100623,2454545.010324,0.29047090833445566,1.1639092,0.191,73726.0,j
266,bj53.261,100623,2454547.939502,-1.291476988381735,1.2882876,0.191,46950.0,j
267,bj53.669,100623,2454548.966076,0.5380424521541931,1.1967081,0.193,45357.0,j
268,bj55.260,100623,2454634.735532,-0.6373159301478211,0.95448667,0.195,47772.0,j
269,bj55.262,100623,2454634.738414,-1.064620274139628,1.0132297,0.19699999999999998,47063.0,j
270,bj55.463,100623,2454635.737083,-3.308578348072615,1.1104742,0.195,46961.0,j
271,bj55.661,100623,2454636.736655,-4.6832353960135435,1.0642277,0.195,46666.0,j
272,bj55.858,100623,2454637.734572,-1.924366721953021,0.9797703,0.19399999999999998,46320.0,j
273,bj55.1176,100623,2454638.788125,-6.553904468922667,1.0167816,0.196,46842.0,j
274,bj55.1361,100623,2454639.734225,-2.242599427705386,1.0471699,0.195,45669.0,j
275,bj55.1559,100623,2454640.737211,-8.847242698224363,1.276433,0.195,44756.0,j
276,bj55.1760,100623,2454641.742755,-5.059134784755656,1.1680901,0.193,45077.0,j
277,bj55.1959,100623,2454643.741042,-9.323557025118816,1.1354239,0.192,45403.0,j
278,bj67.296,100623,2454927.961715,-3.500150372411575,1.4493124,0.20800000000000002,46248.0,j
279,bj67.696,100623,2454929.821358,-2.5952158716092555,1.3007108,0.21,46891.0,j
280,bj80.663,100623,2455172.164883,-1.6007229947730295,1.1405967,0.21100000000000002,46552.0,j
281,bj89.945,100623,2455314.863582,-0.2911844519822182,1.2783768,0.20199999999999999,49248.0,j
282,bj92.268,100623,2455351.737014,-0.015450387860511228,1.0076877,0.198,48250.0,j
283,bj111.708,100623,2455559.109811,5.437013671012885,1.305714,0.215,48527.0,j
284,bj111.709,100623,2455559.110749,2.287560694405471,1.3411883,0.20600000000000002,45930.0,j
285,bj111.710,100623,2455559.112045,5.808668032678803,1.3624595,0.207,45564.0,j
286,bj116.957,100623,2455636.980439,9.854344936762285,1.1348673,0.21600000000000003,48477.0,j
287,bj138.952,100623,2455905.169894,3.367345637622586,1.0875814,0.20199999999999999,47525.0,j
288,bj146.835,100623,2455996.949336,9.896393288006344,1.3382242,0.196,44661.0,j
289,bj166.586,100623,2456328.086118,5.330862013472877,1.0941361,0.191,50374.0,j
290,bj166.587,100623,2456328.087032,4.757430945037748,1.1463286,0.191,49360.0,j
291,bj185.1193,100623,2456641.121051,-0.41825834728620137,1.0048733,0.1824,51317.0,j
292,bj186.273,100623,2456675.182236,5.491440937212095,1.1860775,0.1817,51059.0,j
293,bj197.338,100623,2457061.973346,8.290477941667179,1.1600187,0.18,50451.0,j
294,bj201.964,100623,2457202.73949,5.7169284606473525,1.0299044,0.1785,48016.0,j
295,bj222.164,100623,2457412.182925,8.789916999483172,1.1053525,0.1738,56743.0,j
296,bj230.264,100623,2457562.742052,4.646051339795093,1.1119382,0.1795,54186.0,j
297,bj258.459,100623,2457925.73895,12.707912573142039,1.118682,0.1895,48384.0,j
298,bj292.971,100623,2458295.755029,14.790582635438199,1.0635704,0.2025,49896.0,j
299,bj316.494,100623,2458492.085903,15.166997619470667,1.0519265,0.2001,49778.0,j
300,bj325.105,100623,2458595.923941,18.105202208094283,1.2806754,0.2029,52276.0,j
301,bj357.153,100623,2458833.171012,19.931710128628986,1.1275216,0.1945,51506.0,j
302,,101259,2450462.119826,4.612941497689377,1.2375731,,163353.0,k
303,,101259,2450546.996169,2.976314300423752,1.2590517,,139312.0,k
304,,101259,2450838.034236,0.22993826282609575,1.581349,,68862.0,k
305,,101259,2450862.949769,1.6532399596034395,1.5643944,,71201.0,k
306,,101259,2450955.790336,7.156673187142502,1.9182256,,47453.0,k
307,,101259,2451172.108715,-3.766361480826248,1.5087321,,52336.0,k
308,,101259,2451228.045706,-8.804065948599685,1.7107205,,68223.0,k
309,,101259,2451310.790764,-13.703724151724685,1.6162674,,83456.0,k
310,,101259,2451340.774005,7.150195831185471,1.5843135,,63029.0,k
311,,101259,2451551.12831,-19.986255890005935,1.6937884,,50983.0,k
312,,101259,2451582.943056,-4.434170013541092,1.5576769,,64331.0,k
313,,101259,2451973.970891,4.589252227669846,1.2976527,,105322.0,k
314,,101259,2451974.914213,8.291843170052658,1.4534984,,66511.0,k
315,,101259,2451983.985833,-11.160709625357498,1.3480253,,102958.0,k
316,,101259,2452002.941215,3.7717397154628145,1.5532467,,86703.0,k
317,,101259,2452003.836609,17.26963400257219,1.726401,,67468.0,k
318,,101259,2452095.74559,-3.1472666321934355,1.5084331,,88988.0,k
319,,101259,2452097.747002,5.4999501646815645,1.4991201,,132420.0,k
320,,101259,2452098.768102,18.090038055306565,1.6267669,,88097.0,k
321,,101259,2452334.940278,-3.8944895325840605,1.6027592,,98605.0,k
322,,101259,2452653.054028,-10.12641549693953,2.0722613,,49221.0,k
323,,101259,2452803.799595,6.589870208626877,1.6601274,,101002.0,k
324,,101259,2453018.05162,12.82567190540422,1.4360932,,113827.0,k
325,bj04.952,101259,2453370.115984,3.8128256739436495,1.8548408,0.145,21688.0,j
326,bj07.1040,101259,2453483.81338,9.181313537849721,2.0326312,0.14400000000000002,29147.0,j
327,bj63.828,101259,2454808.148067,-7.18487074903237,1.7605687,0.145,44608.0,j
328,bj111.711,101259,2455559.114145,1.8194542935270306,1.9581567,0.139,22336.0,j
329,bj120.134,101259,2455702.838196,-10.133259562337164,2.3759093,0.142,24506.0,j
330,bj138.456,101259,2455903.150083,10.959928018207762,1.855492,0.14400000000000002,24814.0,j
331,bj146.836,101259,2455996.952893,-6.819860463201735,2.0938103,0.124,44299.0,j
332,bj185.97,101259,2456637.170678,-5.156262807723465,1.7679144,0.1392,23485.0,j
