,obs,name,jd,mnvel,errvel,sval,cts,tel
43447,bj38.167,190067,2454294.915394,0.7548420181518907,1.2977604,0.17600000000000002,70703.0,j
43448,bj41.143,190067,2454304.832523,-10.392556417235213,1.2272795,0.171,69268.0,j
43449,bj41.144,190067,2454304.8339,-7.089880134877735,1.2727479,0.172,70313.0,j
43450,bj41.170,190067,2454304.906262,-7.589042168547991,1.1876663,0.17,69242.0,j
43451,bj41.171,190067,2454304.907627,-4.52889029488695,1.2425597,0.17,69723.0,j
43452,bj41.598,190067,2454305.990104,-5.852199386427051,1.2612346,0.172,69714.0,j
43453,bj41.599,190067,2454305.991759,-5.164734499345947,1.279327,0.172,69425.0,j
43454,bj41.977,190067,2454306.954074,-5.22734308216287,1.1247873,0.172,70524.0,j
43455,bj41.978,190067,2454306.955544,-8.396783984701697,1.0633471,0.17300000000000001,71828.0,j
43456,bj41.1002,190067,2454307.035694,-2.3049453822937167,1.1248082,0.174,69357.0,j
43457,bj41.1003,190067,2454307.037014,-0.12219853265043312,1.2099137,0.174,70666.0,j
43458,bj41.1416,190067,2454308.025428,-2.6872050490373636,1.2675598,0.175,69856.0,j
43459,bj41.1417,190067,2454308.027199,-1.773615719340778,1.1934116,0.174,69871.0,j
43460,bj41.1431,190067,2454308.082535,-2.5358293198310022,1.1847088,0.175,70054.0,j
43461,bj41.1432,190067,2454308.084549,-1.0078508758048899,1.1873156,0.175,70958.0,j
43462,bj41.1800,190067,2454309.058889,-3.1350871046665265,1.2094985,0.175,69932.0,j
43463,bj41.1801,190067,2454309.060891,-4.0810304693544435,1.1600736,0.17600000000000002,69482.0,j
43464,bj41.2195,190067,2454309.984178,-1.9493820288267552,1.1266007,0.17800000000000002,70156.0,j
43465,bj41.2196,190067,2454309.985602,-3.0360962043094295,1.1867547,0.177,69936.0,j
43466,bj41.2211,190067,2454310.052685,-2.983962217472632,1.1923211,0.177,70246.0,j
43467,bj41.2212,190067,2454310.054086,-1.0463027782627798,1.1302563,0.177,69498.0,j
